Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
100	9	Mi5	E5	336	336	1	16	122	95	96	
101	9	Fa5	F5	340	340	1	16	122	95	96	
102	9	Sol5	G5	349	349	1	16	122	95	96	
103	9	Mi5	E5	336	336	1	8	244	95	96	
104	9	Re5	D5	327	327	1	8	244	95	96	
105	9	Do5	C5	318	318	1	8	244	95	96	
106	9	Si4b1	B4b1	313	313	1	8	244	95	96	
107	9	Fa5	F5	340	340	1	16	122	95	96	
108	9	Mi5	E5	336	336	1	16	122	95	96	
109	9	Re5	D5	327	327	1	8	244	95	96	
110	9	Do5	C5	318	318	1	16	122	95	96	
111	9	Si4b1	B4b1	313	313	1	16	122	95	96	
112	9	La4	A4	305	305	1	4	488	95	96	
112.5	53										
113	9	Si4b1	B4b1	313	313	1	8	244	95	96	
114	9	Do5	C5	318	318	1	8	244	95	96	
115	9	Re5	D5	327	327	1	4	488	95	96	
116	9	Re5	D5	327	327	3	8	732	95	96	
116.5	53										
117	9	Mi5	E5	336	336	1	8	244	95	96	
118	9	Fa5	F5	340	340	1	16	122	95	96	
119	9	Sol5	G5	349	349	1	16	122	95	96	
120	9	Mi5	E5	336	336	1	8	244	95	96	
121	9	Re5	D5	327	327	1	8	244	95	96	
122	9	Do5	C5	318	318	1	8	244	95	96	
123	9	Si4b1	B4b1	313	313	1	8	244	95	96	
124	9	La4	A4	305	305	1	4	488	95	96	
125	9	Sol4	G4	296	296	1	8	244	95	96	
125.5	53										
126	9	Do5	C5	318	318	1	4	488	95	96	
127	9	Si4b1	B4b1	313	313	1	8	244	95	96	
128	9	Re5	D5	327	327	1	8	244	95	96	
129	9	Do5	C5	318	318	1	8	244	95	96	
130	9	Si4b1	B4b1	313	313	1	8	244	95	96	
131	9	Si4b1	B4b1	313	313	1	4	488	95	96	
132	9	Si4b1	B4b1	313	313	1	16	122	95	96	
133	9	La4	A4	305	305	1	16	122	95	96	
134	9	La4	A4	305	305	1	4	488	95	96	
134.5	53										
135	9	La4	A4	305	305	1	16	122	95	96	
136	9	Sol5	G5	349	349	1	16	122	95	96	
137	9	Fa5	F5	340	340	1	16	122	95	96	
138	9	Mi5	E5	336	336	1	16	122	95	96	
139	9	Mi5	E5	336	336	1	16	122	95	96	
140	9	Re5	D5	327	327	1	16	122	95	96	
141	9	Re5	D5	327	327	1	16	122	95	96	
142	9	Do5	C5	318	318	1	16	122	95	96	
143	9	Re5	D5	327	327	1	4	488	95	96	
144	9	Re5	D5	327	327	1	16	122	95	96	
145	9	Do5	C5	318	318	1	16	122	95	96	
146	9	Re5	D5	327	327	1	4	488	95	96	
146.5	53										
147	9	Sol4	G4	296	296	1	4	488	95	96	
148	9	La4	A4	305	305	1	8	244	95	96	
149	9	Si4b1	B4b1	313	313	1	8	244	95	96	
150	9	Do5	C5	318	318	1	8	244	95	96	
151	9	Re5	D5	327	327	1	4	488	95	96	
151.5	53										
152	9	Fa5	F5	340	340	1	16	122	95	96	
153	9	Mi5	E5	336	336	1	16	122	95	96	
154	9	Fa5	F5	340	340	1	16	122	95	96	
155	9	Sol5	G5	349	349	1	16	122	95	96	
156	9	Mi5	E5	336	336	1	8	244	95	96	
157	9	Re5	D5	327	327	1	8	244	95	96	
158	9	Do5	C5	318	318	1	8	244	95	96	
159	9	Si4b1	B4b1	313	313	1	8	244	95	96	
160	9	Fa5	F5	340	340	1	16	122	95	96	
161	9	Mi5	E5	336	336	1	16	122	95	96	
162	9	Re5	D5	327	327	1	8	244	95	96	
163	9	Do5	C5	318	318	1	16	122	95	96	
164	9	Si4b1	B4b1	313	313	1	16	122	95	96	
165	9	Re5	D5	327	327	1	4	488	95	96	
165.5	53										
166	9	Sol4	G4	296	296	1	4	488	95	96	
167	9	La4	A4	305	305	1	8	244	95	96	
168	9	Si4b1	B4b1	313	313	1	8	244	95	96	
169	9	Do5	C5	318	318	1	8	244	95	96	
170	9	Re5	D5	327	327	1	4	488	95	96	
170.5	53										
171	9	Fa5	F5	340	340	1	16	122	95	96	
172	9	Mi5	E5	336	336	1	16	122	95	96	
173	9	Fa5	F5	340	340	1	16	122	95	96	
174	9	Sol5	G5	349	349	1	16	122	95	96	
175	9	Mi5	E5	336	336	1	8	244	95	96	
176	9	Re5	D5	327	327	1	8	244	95	96	
177	9	Do5	C5	318	318	1	8	244	95	96	
178	9	Si4b1	B4b1	313	313	1	8	244	95	96	
179	9	Fa5	F5	340	340	1	16	122	95	96	
180	9	Mi5	E5	336	336	1	16	122	95	96	
181	9	Re5	D5	327	327	1	8	244	95	96	
182	9	Do5	C5	318	318	1	16	122	95	96	
183	9	Si4b1	B4b1	313	313	1	16	122	95	96	
184	9	La4	A4	305	305	1	4	488	95	96	
184.5	53										
185	9	Si4b1	B4b1	313	313	1	8	244	95	96	
186	9	Do5	C5	318	318	1	8	244	95	96	
187	9	Re5	D5	327	327	1	4	488	95	96	
188	9	Re5	D5	327	327	3	8	732	95	96	
188.5	53										
189	9	Mi5	E5	336	336	1	8	244	95	96	
190	9	Fa5	F5	340	340	1	16	122	95	96	
191	9	Sol5	G5	349	349	1	16	122	95	96	
192	9	Mi5	E5	336	336	1	8	244	95	96	
193	9	Re5	D5	327	327	1	8	244	95	96	
194	9	Do5	C5	318	318	1	8	244	95	96	
195	9	Si4b1	B4b1	313	313	1	8	244	95	96	
196	9	La4	A4	305	305	1	4	488	95	96	
197	9	Sol4	G4	296	296	1	8	244	95	96	
197.5	53										
198	9	Do5	C5	318	318	1	4	488	95	96	
199	9	Si4b1	B4b1	313	313	1	8	244	95	96	
200	9	Re5	D5	327	327	1	8	244	95	96	
201	9	Do5	C5	318	318	1	8	244	95	96	
202	9	Si4b1	B4b1	313	313	1	8	244	95	96	
203	9	Si4b1	B4b1	313	313	1	4	488	95	96	
204	9	Si4b1	B4b1	313	313	1	16	122	95	96	
205	9	La4	A4	305	305	1	16	122	95	96	
206	9	La4	A4	305	305	3	8	732	95	96	
206.5	53										
207	9	La4	A4	305	305	1	16	122	95	96	
208	9	Sol4	G4	296	296	1	16	122	95	96	
209	9	La4	A4	305	305	1	4	488	95	96	
209.5	53										
210	9	Re5	D5	327	327	1	8	244	95	96	
211	9	Mi5	E5	336	336	1	8	244	95	96	
212	9	Fa5	F5	340	340	1	8	244	95	96	
213	9	Mi5	E5	336	336	3	16	366	95	96	
214	9	Re5	D5	327	327	1	16	122	95	96	
215	9	Mi5	E5	336	336	1	16	122	95	96	
216	9	Re5	D5	327	327	1	16	122	95	96	
217	9	Do5	C5	318	318	1	16	122	95	96	
218	9	Si4b1	B4b1	313	313	1	16	122	95	96	
219	9	Do5	C5	318	318	1	4	488	95	96	
219.5	53										
220	9	Re5	D5	327	327	1	8	244	95	96	
221	9	Mi5	E5	336	336	1	8	244	95	96	
222	9	Fa5	F5	340	340	1	8	244	95	96	
223	9	Mi5	E5	336	336	3	16	366	95	96	
224	9	Re5	D5	327	327	1	16	122	95	96	
225	9	Mi5	E5	336	336	1	16	122	95	96	
226	9	Re5	D5	327	327	1	16	122	95	96	
227	9	Do5	C5	318	318	1	16	122	95	96	
228	9	Si4b1	B4b1	313	313	1	16	122	95	96	
229	9	Do5	C5	318	318	1	4	488	95	96	
229.5	53										
230	9	Re5	D5	327	327	1	8	244	95	96	
231	9	Mi5	E5	336	336	1	8	244	95	96	
232	9	Fa5	F5	340	340	1	8	244	95	96	
233	9	La5	A5	358	358	1	16	122	95	96	
234	9	Sol5	G5	349	349	1	16	122	95	96	
235	9	Fa5	F5	340	340	1	16	122	95	96	
236	9	Mi5	E5	336	336	1	16	122	95	96	
237	9	Re5	D5	327	327	1	8	244	95	96	
238	9	Fa5	F5	340	340	1	16	122	95	96	
239	9	Mi5	E5	336	336	1	16	122	95	96	
240	9	Mi5	E5	336	336	1	16	122	95	96	
241	9	Re5	D5	327	327	1	16	122	95	96	
242	9	Re5	D5	327	327	1	16	122	95	96	
243	9	Do5	C5	318	318	1	16	122	95	96	
244	9	Do5	C5	318	318	1	16	122	95	96	
245	9	Si4b1	B4b1	313	313	1	16	122	95	96	
246	9	Si4b1	B4b1	313	313	1	16	122	95	96	
247	9	La4	A4	305	305	1	16	122	95	96	
248	9	La4	A4	305	305	1	16	122	95	96	
249	9	Sol4	G4	296	296	1	16	122	95	96	
250	9	La4	A4	305	305	3	8	732	95	96	
250.5	53										
251	9	Do5	C5	318	318	1	16	122	95	96	
252	9	Si4b1	B4b1	313	313	1	16	122	95	96	
253	9	La4	A4	305	305	1	4	488	95	96	
253.5	53										
254	9	Re5	D5	327	327	1	8	244	95	96	
255	9	Mi5	E5	336	336	1	8	244	95	96	
256	9	Fa5	F5	340	340	1	8	244	95	96	
257	9	Mi5	E5	336	336	3	16	366	95	96	
258	9	Re5	D5	327	327	1	16	122	95	96	
259	9	Mi5	E5	336	336	1	16	122	95	96	
260	9	Re5	D5	327	327	1	16	122	95	96	
261	9	Do5	C5	318	318	1	16	122	95	96	
262	9	Si4b1	B4b1	313	313	1	16	122	95	96	
263	9	Do5	C5	318	318	1	4	488	95	96	
263.5	53										
264	9	Re5	D5	327	327	1	8	244	95	96	
265	9	Mi5	E5	336	336	1	8	244	95	96	
