Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
100	9	Fa5	F5	340	340	1	16	114	99	96	
101	9	Mi5	E5	336	336	1	16	114	99	96	
102	9	Fa5	F5	340	340	1	4	455	95	96	
102.5	53										
103	9	Do5	C5	318	318	1	8	227	99	96	
104	9	Fa5	F5	340	340	1	8	227	99	96	
105	9	Fa5	F5	340	340	1	8	227	99	96	
106	9	Fa5	F5	340	340	1	16	114	99	96	
107	9	Mi5	E5	336	336	1	16	114	99	96	
108	9	Mi5	E5	336	336	3	16	341	99	96	
109	9	Re5	D5	327	327	1	16	114	95	96	
110	9	La5	A5	358	358	1	16	114	99	96	
111	9	Sol5	G5	349	349	1	16	114	95	96	
112	9	Fa5	F5	340	340	1	16	114	99	96	
113	9	Mi5	E5	336	336	1	16	114	95	96	
114	9	Mi5	E5	336	336	3	16	341	99	96	
115	9	Re5	D5	327	327	1	16	114	99	96	
116	9	Re5	D5	327	327	1	16	114	99	96	
117	9	Do5	C5	318	318	1	16	114	99	96	
118	9	Do5	C5	318	318	1	16	114	99	96	
119	9	Re5	D5	327	327	1	16	114	99	96	
120	9	Mi5	E5	336	336	3	16	341	99	96	
121	9	Re5	D5	327	327	1	16	114	95	96	
121.5	53										
122	9	Re5	D5	327	327	1	16	114	99	96	
123	9	Do5	C5	318	318	1	16	114	99	96	
124	9	Do5	C5	318	318	1	16	114	99	96	
125	9	Re5	D5	327	327	1	16	114	99	96	
126	9	Mi5	E5	336	336	3	16	341	99	96	
127	9	Re5	D5	327	327	1	16	114	99	96	
128	9	Re5	D5	327	327	1	16	114	99	96	
129	9	Do5	C5	318	318	1	16	114	99	96	
130	9	Do5	C5	318	318	1	16	114	99	96	
131	9	Re5	D5	327	327	1	16	114	99	96	
132	9	Mi5	E5	336	336	1	16	114	99	96	
133	9	Fa5	F5	340	340	1	16	114	99	96	
134	9	Sol5	G5	349	349	1	16	114	99	96	
135	9	La5	A5	358	358	1	16	114	99	96	
136	9	Sol5	G5	349	349	1	16	114	99	96	
137	9	Fa5	F5	340	340	1	16	114	99	96	
138	9	Mi5	E5	336	336	1	16	114	99	96	
139	9	Re5	D5	327	327	1	16	114	99	96	
140	9	Re5	D5	327	327	1	16	114	99	96	
141	9	Do5	C5	318	318	1	16	114	99	96	
142	9	Do5	C5	318	318	1	16	114	99	96	
143	9	Si4b1	B4b1	313	313	1	16	114	95	96	
144	9	Mi5	E5	336	336	1	16	114	95	96	
145	9	Re5	D5	327	327	1	16	114	95	96	
146	9	Do5	C5	318	318	1	16	114	95	96	
147	9	Re5	D5	327	327	1	16	114	95	96	
148	9	Re5	D5	327	327	1	16	114	99	96	
149	9	Do5	C5	318	318	1	16	114	99	96	
150	9	Si4b1	B4b1	313	313	1	16	114	99	96	
151	9	La4	A4	305	305	1	16	114	99	96	
152	9	Si4b1	B4b1	313	313	1	8	227	99	96	
153	9	Do5	C5	318	318	1	8	227	99	96	
154	9	Si4b1	B4b1	313	313	1	4	455	95	96	
154.5	53										
155	9	Sol5	G5	349	349	1	8	227	99	96	
156	9	Fa5	F5	340	340	1	16	114	99	96	
157	9	Mi5	E5	336	336	1	16	114	99	96	
158	9	Re5	D5	327	327	1	8	227	99	96	
159	9	La5	A5	358	358	1	8	227	99	96	
160	9	La5	A5	358	358	1	16	114	99	96	
161	9	Sol5	G5	349	349	1	16	114	99	96	
162	9	Sol5	G5	349	349	1	16	114	99	96	
163	9	Fa5	F5	340	340	1	16	114	99	96	
164	9	Fa5	F5	340	340	1	16	114	99	96	
165	9	Mi5	E5	336	336	1	16	114	99	96	
166	9	Mi5	E5	336	336	1	16	114	99	96	
167	9	Re5	D5	327	327	1	16	114	99	96	
168	9	Re5	D5	327	327	1	16	114	99	96	
169	9	Do5	C5	318	318	1	16	114	99	96	
170	9	Do5	C5	318	318	1	16	114	99	96	
171	9	Si4b1	B4b1	313	313	1	16	114	99	96	
172	9	Mi5	E5	336	336	1	16	114	99	96	
173	9	Re5	D5	327	327	1	16	114	99	96	
174	9	Mi5	E5	336	336	1	16	114	99	96	
175	9	Re5	D5	327	327	1	16	114	95	96	
176	9	Re5	D5	327	327	1	16	114	95	96	
177	9	Do5	C5	318	318	1	16	114	95	96	
178	9	Do5	C5	318	318	1	16	114	95	96	
179	9	Si4b1	B4b1	313	313	1	16	114	95	96	
180	9	Si4b1	B4b1	313	313	1	16	114	99	96	
181	9	La4	A4	305	305	1	16	114	99	96	
182	9	Si4b1	B4b1	313	313	1	16	114	99	96	
183	9	La4	A4	305	305	1	16	114	99	96	
184	9	La4	A4	305	305	1	4	455	99	96	
185	9	La4	A4	305	305	1	16	114	99	96	
186	9	Fa5	F5	340	340	1	16	114	99	96	
187	9	Mi5	E5	336	336	1	16	114	99	96	
188	9	Re5	D5	327	327	1	16	114	99	96	
189	9	Do5	C5	318	318	1	8	227	99	96	
190	9	Re5	D5	327	327	1	4	455	99	96	
191	9	Do5	C5	318	318	1	16	114	99	96	
192	9	Si4b1	B4b1	313	313	1	16	114	99	96	
193	9	La4	A4	305	305	1	4	455	95	96	
194	9	Re5	D5	327	327	1	8	227	99	96	
195	9	Mi5b5	E5b5	331	331	1	4	455	99	96	
196	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
197	9	Re5	D5	327	327	1	16	114	99	96	
198	9	Re5	D5	327	327	3	16	341	99	96	
199	9	Do5#4	C5#4	322	322	1	16	114	95	96	
200	9	Sol5	G5	349	349	1	8	227	95	96	
201	9	Sol5	G5	349	349	1	8	227	95	96	
202	9	Si5b5	B5b5	362	362	1	16	114	99	96	
203	9	La5	A5	358	358	1	16	114	99	96	
204	9	Sol5	G5	349	349	1	16	114	99	96	
205	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
206	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
207	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
208	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
209	9	Re5	D5	327	327	1	16	114	99	96	
210	9	Re5	D5	327	327	1	4	455	95	96	
211	9	Do5#4	C5#4	322	322	1	8	227	99	96	
212	9	Re5	D5	327	327	1	4	455	99	96	
213	9	Re5	D5	327	327	1	8	227	99	96	
214	9	Re5	D5	327	327	1	4	455	95	96	
215	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
216	9	Re5	D5	327	327	1	16	114	99	96	
217	9	Do5#4	C5#4	322	322	1	16	114	99	96	
218	9	Re5	D5	327	327	1	16	114	99	96	
219	9	Do5#4	C5#4	322	322	1	8	227	99	96	
220	9	Re5	D5	327	327	1	8	227	99	96	
221	9	Mi5b5	E5b5	331	331	3	16	341	99	96	
222	9	Re5	D5	327	327	1	16	114	95	96	
223	9	Sol5	G5	349	349	1	8	227	95	96	
224	9	Sol5	G5	349	349	1	8	227	95	96	
225	9	Si5b5	B5b5	362	362	1	16	114	99	96	
226	9	La5	A5	358	358	1	16	114	99	96	
227	9	Sol5	G5	349	349	1	16	114	99	96	
228	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
229	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
230	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
231	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
232	9	Re5	D5	327	327	1	16	114	99	96	
233	9	Re5	D5	327	327	1	4	455	95	96	
234	9	Re5	D5	327	327	1	8	227	99	96	
235	9	Sol5	G5	349	349	1	8	227	99	96	
236	9	Sol5	G5	349	349	1	8	227	99	96	
237	9	Sol5	G5	349	349	1	16	114	99	96	
238	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
239	9	Sol5	G5	349	349	1	4	455	99	96	
240	9	Do5	C5	318	318	1	8	227	99	96	
241	9	Sol5	G5	349	349	1	8	227	99	96	
242	9	Sol5	G5	349	349	1	16	114	99	96	
243	9	La5	A5	358	358	1	16	114	99	96	
244	9	Sol5	G5	349	349	1	16	114	99	96	
245	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
246	9	Sol5	G5	349	349	1	4	455	95	96	
247	9	Do6	C6	371	371	1	8	227	95	96	
248	9	Si5b5	B5b5	362	362	1	16	114	99	96	
249	9	La5	A5	358	358	1	16	114	95	96	
250	9	La5	A5	358	358	1	16	114	99	96	
251	9	Sol5	G5	349	349	1	16	114	99	96	
252	9	Sol5	G5	349	349	1	16	114	99	96	
253	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
254	9	Mi5	E5	336	336	1	16	114	99	96	
255	9	Re5	D5	327	327	1	16	114	99	96	
256	9	Sol5	G5	349	349	1	16	114	99	96	
257	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
258	9	Fa5#4	F5#4	344	344	1	4	455	95	96	
259	9	Sol5	G5	349	349	3	16	341	99	96	
260	9	La5	A5	358	358	1	16	114	99	96	
261	9	Fa5#4	F5#4	344	344	3	16	341	99	96	
262	9	Sol5	G5	349	349	1	16	114	99	96	
263	9	Mi5b5	E5b5	331	331	3	16	341	99	96	
264	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
265	9	Re5	D5	327	327	3	16	341	99	96	
266	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
267	9	Re5	D5	327	327	1	16	114	99	96	
