Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
86	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	14.5
87	9	Re5	D5	327	327	5	8	1250	95	96	.	15
88	9	Sol5	G5	349	349	3	16	375	95	96	.	15.15
89	9	Fa5#4	F5#4	344	344	1	16	125	95	96	.	15.2
90	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	15.3
91	9	Re5	D5	327	327	1	8	250	95	96	.	15.4
92	9	Do5	C5	318	318	1	8	250	95	96	.	15.5
93	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	15.6
94	9	La4b4	A4b4	301	301	1	8	250	95	96	.	15.7
95	9	Sol4	G4	296	296	3	8	750	95	96	.  	16
96	53			0	0	0	0	0	0	0		16
97	9	Sol5	G5	349	349	3	8	750	95	96	Se	16.3
98	9	Re5	D5	327	327	1	4	500	95	96	ne	16.5
99	9	Mi5b4	E5b4	332	332	1	8	250	99	96	ler	16.6
100	9	Re5	D5	327	327	1	8	250	99	96		16.7
101	9	Do5	C5	318	318	1	8	250	99	96		16.8
102	9	Si4b1	B4b1	313	313	1	8	250	99	96		16.9
103	9	Do5	C5	318	318	1	8	250	95	96		17
104	9	Re5	D5	327	327	5	4	2500	95	96	ce 	18
105	53			0	0	0	0	0	0	0		18
106	9	Si4b1	B4b1	313	313	3	8	750	95	96	aş	18.3
107	9	Si4b1	B4b1	313	313	1	4	500	95	96	kı 	18.5
108	9	Do5	C5	318	318	1	8	250	99	96	an	18.6
109	9	Re5	D5	327	327	1	8	250	99	96		18.7
110	9	Si4b1	B4b1	313	313	1	8	250	99	96		18.8
111	9	La4b4	A4b4	301	301	1	8	250	99	96		18.9
112	9	Sol4	G4	296	296	1	8	250	95	96		19
113	9	Do5	C5	318	318	5	8	1250	99	96	mış  	19.5
114	9	Si4b1	B4b1	313	313	1	8	250	99	96		19.6
115	9	La4b4	A4b4	301	301	1	8	250	99	96		19.7
116	9	Sol4	G4	296	296	3	8	750	95	96		20
117	53			0	0	0	0	0	0	0		20
118	9	Mi5b4	E5b4	332	332	3	8	750	95	96	Mah	20.3
119	9	Mi5b4	E5b4	332	332	1	4	500	95	96	zun 	20.5
120	9	Mi5b4	E5b4	332	332	1	8	250	99	96	kalp	20.6
121	9	Fa5#4	F5#4	344	344	1	8	250	99	96		20.7
122	9	Re5	D5	327	327	1	4	500	99	96		20.9
123	9	Do5	C5	318	318	1	8	250	95	96		21
124	9	Mi5b4	E5b4	332	332	5	8	1250	99	96	ler 	21.5
125	11	Mi5b4	E5b4	332	332	1	8	250	99	96		21.6
126	9	Mi5b4	E5b4	332	332	1	16	125	99	96		21.65
127	9	Re5	D5	327	327	1	16	125	99	96		21.7
128	9	Mi5b4	E5b4	332	332	3	8	750	95	96		22
129	53			0	0	0	0	0	0	0		22
130	9	Re5	D5	327	327	3	8	750	95	96	hep 	22.3
131	9	Mi5b4	E5b4	332	332	1	4	500	95	96	ağ	22.5
132	9	Fa5#4	F5#4	344	344	1	8	250	99	96	lar	22.6
133	9	Sol5	G5	349	349	1	8	250	99	96		22.7
134	9	Mi5b4	E5b4	332	332	1	4	500	99	96		22.9
135	9	Fa5#4	F5#4	344	344	1	8	250	95	96		23
136	9	Sol5	G5	349	349	3	16	375	95	96	mış  	23.15
137	9	Fa5#4	F5#4	344	344	1	16	125	95	96		23.2
138	9	Mi5b4	E5b4	332	332	1	8	250	95	96		23.3
139	9	Re5	D5	327	327	1	8	250	95	96	SAZ	23.4
140	9	Do5	C5	318	318	1	8	250	95	96	.	23.5
141	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	23.6
142	9	La4b4	A4b4	301	301	1	8	250	95	96	.	23.7
143	9	Sol4	G4	296	296	3	8	750	95	96	.	24
144	53			0	0	0	0	0	0	0		24
145	9	Sol5	G5	349	349	3	8	750	95	96	Se	24.3
146	9	Re5	D5	327	327	1	4	500	95	96	ne	24.5
147	9	Mi5b4	E5b4	332	332	1	8	250	99	96	ler	24.6
148	9	Re5	D5	327	327	1	8	250	99	96		24.7
149	9	Do5	C5	318	318	1	8	250	99	96		24.8
150	9	Si4b1	B4b1	313	313	1	8	250	99	96		24.9
151	9	Do5	C5	318	318	1	8	250	95	96		25
152	9	Re5	D5	327	327	5	4	2500	95	96	ce 	26
153	53			0	0	0	0	0	0	0		26
154	9	Si4b1	B4b1	313	313	3	8	750	95	96	aş	26.3
155	9	Si4b1	B4b1	313	313	1	4	500	95	96	kı 	26.5
156	9	Do5	C5	318	318	1	8	250	99	96	an	26.6
157	9	Re5	D5	327	327	1	8	250	99	96		26.7
158	9	Si4b1	B4b1	313	313	1	8	250	99	96		26.8
159	9	La4b4	A4b4	301	301	1	8	250	99	96		26.9
160	9	Sol4	G4	296	296	1	8	250	95	96		27
161	9	Do5	C5	318	318	5	8	1250	99	96	mış  	27.5
162	9	Si4b1	B4b1	313	313	1	8	250	99	96		27.6
163	9	La4b4	A4b4	301	301	1	8	250	99	96		27.7
164	9	Sol4	G4	296	296	3	8	750	95	96		28
165	53			0	0	0	0	0	0	0		28
166	9	Mi5b4	E5b4	332	332	3	8	750	95	96	Mah	28.3
167	9	Mi5b4	E5b4	332	332	1	4	500	95	96	zun 	28.5
168	9	Mi5b4	E5b4	332	332	1	8	250	99	96	kalp	28.6
169	9	Fa5#4	F5#4	344	344	1	8	250	99	96		28.7
170	9	Re5	D5	327	327	1	4	500	99	96		28.9
171	9	Do5	C5	318	318	1	8	250	95	96		29
172	9	Mi5b4	E5b4	332	332	5	8	1250	99	96	ler 	29.5
173	11	Mi5b4	E5b4	332	332	1	8	250	99	96		29.6
174	9	Mi5b4	E5b4	332	332	1	16	125	99	96		29.65
175	9	Re5	D5	327	327	1	16	125	99	96		29.7
176	9	Mi5b4	E5b4	332	332	3	8	750	95	96		30
177	53			0	0	0	0	0	0	0		30
178	9	Re5	D5	327	327	3	8	750	95	96	hep 	30.3
179	9	Mi5b4	E5b4	332	332	1	4	500	95	96	ağ	30.5
180	9	Fa5#4	F5#4	344	344	1	8	250	99	96	lar	30.6
181	9	Sol5	G5	349	349	1	8	250	99	96		30.7
182	9	Mi5b4	E5b4	332	332	1	4	500	99	96		30.9
183	9	Fa5#4	F5#4	344	344	1	8	250	95	96		31
184	9	Sol5	G5	349	349	1	4	500	95	96	mış  	31.2
185	9	La5b4	A5b4	354	354	1	8	250	95	96		31.3
186	9	Sol5	G5	349	349	1	8	250	95	96		31.4
187	9	Fa5#4	F5#4	344	344	1	8	250	95	96	SAZ	31.5
188	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	31.6
189	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	31.7
190	9	Sol5	G5	349	349	3	8	750	95	96	.	32
191	53			0	0	0	0	0	0	0		32
192	9	Sol5	G5	349	349	3	8	750	95	96	Gül 	32.3
193	9	Si5b1	B5b1	366	366	1	4	500	95	96	du	32.5
194	9	La5b4	A5b4	354	354	1	8	250	99	96	dak	32.6
195	9	Sol5	G5	349	349	1	8	250	99	96		32.7
196	9	Fa5#4	F5#4	344	344	1	8	250	99	96		32.8
197	9	Sol5	G5	349	349	1	8	250	99	96		32.9
198	9	La5b4	A5b4	354	354	1	8	250	95	96		33
