Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
84	9	Mi5b3	E5b4	333	332	1	16	200	95	96		3.861111
85	9	Fa5	F5	340	340	1	16	200	95	96		3.888889
86	9	Sol5	G5	349	349	1	4	800	95	96		4
87	55			0	0	0	0	0	0	0		4
88	53			0	0	0	0	0	0	0		4
89	9	Fa5	F5	340	340	1	8	400	95	96	ARANAĞME	4.055555
90	9	Sol5	G5	349	349	1	4	800	95	96	.	4.166667
91	9	La5b5	A5b5	353	353	1	8	400	95	96	.	4.222222
92	9	Fa5	F5	340	340	1	4	800	95	96	.	4.333333
93	9	Do6	C6	371	371	3	16	600	95	96	.	4.416667
94	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	4.444445
95	9	Si5b5	B5b5	362	362	3	16	600	95	96	.	4.527778
96	9	La5b5	A5b5	353	353	1	16	200	95	96	.	4.555555
97	9	La5b5	A5b5	353	353	3	16	600	95	96	.	4.638889
98	9	Sol5	G5	349	349	1	16	200	95	96	.	4.666667
99	9	Sol5	G5	349	349	3	16	600	95	96	.	4.75
100	9	La5b5	A5b5	353	353	1	16	200	95	96	.	4.777778
101	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	4.805555
102	9	Do6	C6	371	371	1	16	200	95	96	.	4.833333
103	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	4.861111
104	9	La5b5	A5b5	353	353	1	16	200	95	96	.	4.888889
105	9	Sol5	G5	349	349	1	4	800	95	96	.	5
106	53			0	0	0	0	0	0	0		5
107	9	Sol5	G5	349	349	1	16	200	95	96	.	5.027778
108	9	La5b5	A5b5	353	353	1	8	400	95	96	.	5.083333
109	9	Sol5	G5	349	349	1	16	200	95	96	.	5.111111
110	9	Fa5	F5	340	340	1	4	800	95	96	.	5.222222
111	9	Fa5	F5	340	340	1	16	200	95	96	.	5.25
112	9	Sol5	G5	349	349	1	8	400	95	96	.	5.305555
113	9	Fa5	F5	340	340	1	16	200	95	96	.	5.333333
114	9	Mi5b5	E5b5	331	331	1	4	800	95	96	.	5.444445
115	53			0	0	0	0	0	0	0		5.444445
116	9	Re5	D5	327	327	1	8	400	95	96	.	5.5
117	9	Do5	C5	318	318	1	16	200	95	96	.	5.527778
118	9	Si4b5	B4b5	309	309	1	16	200	95	96	.	5.555555
119	9	Sol5	G5	349	349	1	8	400	95	96	.	5.611111
120	9	Fa5	F5	340	340	1	16	200	95	96	.	5.638889
121	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	5.666667
122	9	Re5	D5	327	327	1	16	200	95	96	.	5.694445
123	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	5.722222
124	9	Re5	D5	327	327	1	16	200	95	96	.	5.75
125	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	5.777778
126	9	Re5	D5	327	327	1	16	200	95	96	.	5.805555
127	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	5.833333
128	9	Re5	D5	327	327	1	16	200	95	96	.	5.861111
129	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	5.888889
130	9	Re5	D5	327	327	1	8	400	95	96	.	5.944445
131	9	Do5	C5	318	318	1	8	400	95	96	.	6
132	53			0	0	0	0	0	0	0		6
133	9			-1	-1	1	8	400	100	0	.	6.055555
134	9	Mi5b5	E5b5	331	331	1	8	400	95	96	.	6.111111
135	9	Re5	D5	327	327	1	8	400	95	96	.	6.166667
136	9	Do5	C5	318	318	1	8	400	95	96	.	6.222222
137	9			-1	-1	1	8	400	100	0	.	6.277778
138	9	La5b5	A5b5	353	353	1	8	400	95	96	.	6.333333
139	9	Sol5	G5	349	349	1	8	400	95	96	.	6.388889
140	9	Fa5	F5	340	340	1	8	400	95	96	.	6.444445
141	9	Mi5b5	E5b5	331	331	3	16	600	95	96	.	6.527778
142	9	Re5	D5	327	327	1	16	200	95	96	.	6.555555
143	9	Do5	C5	318	318	1	8	400	95	96	.	6.611111
144	9	Re5	D5	327	327	1	8	400	95	96	.	6.666667
145	9	Si4b5	B4b5	309	309	1	8	400	95	96	.	6.722222
146	9	Do5	C5	318	318	1	8	400	95	96	.	6.777778
147	9	Si4b5	B4b5	309	309	1	8	400	95	96	.	6.833333
148	9	La4b5	A4b5	300	300	1	8	400	95	96	.	6.888889
149	9	Sol4	G4	296	296	1	8	400	95	96	.	6.944445
150	9	Fa4	F4	287	287	1	8	400	95	96	.	7
151	53			0	0	0	0	0	0	0		7
152	9	Si4b5	B4b5	309	309	1	8	400	95	96	.	7.055555
153	9	Do5	C5	318	318	1	4	800	95	96	.	7.166667
154	9	Do5	C5	318	318	1	8	400	95	96	.	7.222222
155	9	Si4b5	B4b5	309	309	1	12	267	95	96	.	7.259259
156	9	Do5	C5	318	318	1	12	267	95	96	.	7.296296
157	9	Re5	D5	327	327	1	12	267	95	96	.	7.333333
