Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
82	9	La4	A4	305	305	1	8	294	99	96		11.66667
83	9	Si4b2	B4b1	312	313	3	8	882	95	96		12
84	53			0	0	0	0	0	0	0		12
85	9	Si4b2	B4b1	312	313	1	8	294	95	96	Kül	12.11111
86	9	Si4b2	B4b1	312	313	1	4	588	95	96	han 	12.33333
87	9	Si4b2	B4b1	312	313	1	8	294	95	96	da 	12.44444
88	9	Re5b3	D5b4	324	323	1	4	588	95	96	bey	12.66667
89	9	Do5	C5	318	318	1	4	588	99	96	ler 	12.88889
90	9	Si4b2	B4b1	312	313	1	8	294	95	96		13
91	9	Do5	C5	318	318	1	4	588	95	96	kız	13.22222
92	9	Si4b2	B4b1	312	313	1	8	294	95	96	la	13.33333
93	9	La4	A4	305	305	1	8	294	95	96	rı 	13.44444
94	9	La4	A4	305	305	1	8	294	99	96	al	13.55556
95	9	Si4b2	B4b1	312	313	1	8	294	95	96		13.66667
96	9	Do5	C5	318	318	1	8	294	99	96	dı 	13.77778
97	9	Si4b2	B4b1	312	313	1	8	294	99	96		13.88889
98	9	Do5	C5	318	318	1	8	294	95	96		14
99	9	Si4b2	B4b1	312	313	1	8	294	95	96	yü	14.11111
100	9	La4	A4	305	305	3	8	882	95	96	rü	14.44444
101	9	La4	A4	305	305	1	4	588	95	96	dü  	14.66667
102	9	Do5	C5	318	318	1	16	147	95	96	.	14.72222
103	9	Re5b3	D5b4	324	323	1	16	147	95	96	.	14.77778
104	9	Do5	C5	318	318	1	16	147	95	96	.	14.83333
105	9	Si4b2	B4b1	312	313	1	16	147	95	96	.	14.88889
106	9	La4	A4	305	305	1	16	147	95	96	.	14.94444
107	9	Si4b2	B4b1	312	313	1	16	147	95	96	.	15
108	9	Do5	C5	318	318	1	4	588	95	96	.	15.22222
109	9	Do5	C5	318	318	1	8	294	95	96	Be	15.33333
110	9	Do5	C5	318	318	1	8	294	95	96	nim 	15.44444
111	9	Do5	C5	318	318	1	4	588	95	96	yâ	15.66667
112	9	Do5	C5	318	318	1	4	588	99	96	rim 	15.88889
113	9	Re5b3	D5b4	324	323	1	8	294	95	96		16
114	9	Mi5	E5	336	336	1	8	294	99	96	kü	16.11111
115	9	Re5b3	D5b4	324	323	1	8	294	95	96		16.22222
116	9	Re5b3	D5b4	324	323	1	8	294	99	96	çü	16.33333
117	9	Do5	C5	318	318	1	8	294	95	96		16.44444
118	9	Do5	C5	318	318	1	8	294	99	96	cük	16.55556
119	9	Re5b3	D5b4	324	323	1	8	294	95	96		16.66667
120	9	Do5	C5	318	318	1	4	588	99	96	tü 	16.88889
121	9	Si4b2	B4b1	312	313	1	8	294	95	96		17
122	9			-1	-1	1	4	588	100	0		17.22222
123	9	Si4b2	B4b1	312	313	1	8	294	95	96	bü	17.33333
124	9	Si4b2	B4b1	312	313	1	8	294	95	96	yü	17.44444
125	9	Re5b3	D5b4	324	323	1	4	588	99	96	dü  	17.66667
126	9	Do5	C5	318	318	1	4	588	99	96		17.88889
127	9	Si4b2	B4b1	312	313	1	8	294	95	96		18
128	53			0	0	0	0	0	0	0		18
129	9	Si4b2	B4b1	312	313	1	8	294	95	96	Sü	18.11111
130	9	Si4b2	B4b1	312	313	3	8	882	95	96	rü	18.44444
131	9	Re5b3	D5b4	324	323	1	4	588	95	96	den 	18.66667
132	9	Do5	C5	318	318	1	4	588	99	96	ay	18.88889
133	9	Si4b2	B4b1	312	313	1	8	294	95	96		19
134	9	Do5	C5	318	318	1	4	588	95	96	rı	19.22222
135	9	Si4b2	B4b1	312	313	1	8	294	95	96	lan 	19.33333
136	9	La4	A4	305	305	1	8	294	95	96		19.44444
137	9	La4	A4	305	305	1	8	294	99	96	sür	19.55556
138	9	Si4b2	B4b1	312	313	1	8	294	95	96		19.66667
139	9	Do5	C5	318	318	1	8	294	99	96	me	19.77778
140	9	Si4b2	B4b1	312	313	1	8	294	99	96		19.88889
141	9	Do5	C5	318	318	1	8	294	95	96		20
142	9	Si4b2	B4b1	312	313	1	8	294	95	96	li 	20.11111
143	9	La4	A4	305	305	3	8	882	95	96	ko	20.44444
144	9	Si4b2	B4b1	312	313	1	8	294	99	96	yun	20.55556
