Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	12	303	95	96	ARANAĞME 	8.333334E-02
2	9	La5b5	A5b5	353	353	1	12	303	95	96	.	0.1666667
3	9	Si5b5	B5b5	362	362	1	12	303	95	96	.	0.25
4	9	Sol5	G5	349	349	1	8	455	95	96	.	0.375
5	9			-1	-1	1	8	455	100	0	.	0.5
6	9	Fa5	F5	340	340	1	12	303	95	96	.	0.5833333
7	9	Sol5	G5	349	349	1	12	303	95	96	.	0.6666667
8	9	La5b5	A5b5	353	353	1	12	303	95	96	.	0.75
9	9	Fa5	F5	340	340	1	8	455	95	96	.	0.875
10	9			-1	-1	1	8	455	100	0	.	1
11	9	Fa5	F5	340	340	1	8	455	95	96	.	1.125
12	9	Sol5	G5	349	349	1	16	227	95	96	.	1.1875
13	9	Fa5	F5	340	340	1	16	227	95	96	.	1.25
14	9	Mi5b5	E5b5	331	331	1	8	455	95	96	.	1.375
15	9	Fa5	F5	340	340	1	8	455	95	96	.	1.5
16	9	Sol5	G5	349	349	3	8	1364	95	96	.	1.875
17	9	Re5	D5	327	327	1	8	455	95	96	.	2
18	53			0	0	0	0	0	0	0		2
20	9	Re5	D5	327	327	1	12	303	95	96	.	2.083333
21	9	Mi5b5	E5b5	331	331	1	12	303	95	96	.	2.166667
22	9	Fa5	F5	340	340	1	12	303	95	96	.	2.25
23	9	Re5	D5	327	327	1	8	455	95	96	.	2.375
24	9			-1	-1	1	8	455	100	0	.	2.5
25	9	Do5	C5	318	318	1	12	303	95	96	.	2.583333
26	9	Re5	D5	327	327	1	12	303	95	96	.	2.666667
27	9	Mi5b5	E5b5	331	331	1	12	303	95	96	.	2.75
28	9	Do5	C5	318	318	1	8	455	95	96	.	2.875
29	9			-1	-1	1	8	455	100	0	.	3
30	9	Si4b5	B4b5	309	309	1	8	455	95	96	.	3.125
31	9	Do5	C5	318	318	1	16	227	95	96	.	3.1875
32	9	Si4b5	B4b5	309	309	1	16	227	95	96	.	3.25
33	9	La4b5	A4b5	300	300	1	8	455	95	96	.	3.375
34	9	Si4b5	B4b5	309	309	1	8	455	95	96	.	3.5
35	9	Sol4	G4	296	296	3	8	1364	95	96	.	3.875
36	9			-1	-1	1	8	455	100	0		4
37	53			0	0	0	0	0	0	0		4
38	9	Fa5	F5	340	340	1	8	455	95	96	Be	4.125
